line,subtitle,movie,country,
1,Me gustarÍa ser un hombre,dolor_y_gloria,spain,
2,para baÑarme en el rÍo desnuda.,dolor_y_gloria,spain,
3,¡QuÉ valor!,dolor_y_gloria,spain,
4,"¡QuÉ cosas tienes, Rosita!",dolor_y_gloria,spain,
5,Di que sÍ.,dolor_y_gloria,spain,
6,Y que te dÉ bien el agua en todo el pepe.,dolor_y_gloria,spain,
7,"- ¡Hija mÍa, quÉ gusto!",dolor_y_gloria,spain,
8,"- Pues sÍ, pues sÍ.",dolor_y_gloria,spain,
9,"Oye, antes de echarte al agua,",dolor_y_gloria,spain,
10,"quÍtame al niÑo de encima, que me tiene deslomá.",dolor_y_gloria,spain,
11,"A ver, Salvador, vente aquÍ.",dolor_y_gloria,spain,
12,A ver... Mira... AquÍ tienes un palo para jugar.,dolor_y_gloria,spain,
13,- Vale.,dolor_y_gloria,spain,
14,- Venga.,dolor_y_gloria,spain,
15,"- Ayúdame, Mari, con las sábanas.",dolor_y_gloria,spain,
16,- Voy.,dolor_y_gloria,spain,
17,¡Los pececillos jaboneros!,dolor_y_gloria,spain,
18,¡Mira! ¡AhÍ los tienes!,dolor_y_gloria,spain,
19,¡Los pececillos jaboneros!,dolor_y_gloria,spain,
20,"- Cántanos algo, Rosita.",dolor_y_gloria,spain,
21,- QuÉ bonitos.,dolor_y_gloria,spain,
22,A tu vera...,dolor_y_gloria,spain,
23,QuÉ bonitos.,dolor_y_gloria,spain,
24,A tu vera,dolor_y_gloria,spain,
25,Siempre a la verita tuya,dolor_y_gloria,spain,
26,Siempre a la verita tuya,dolor_y_gloria,spain,
27,Hasta que de pena muera,dolor_y_gloria,spain,
28,Que no mirase tus ojos,dolor_y_gloria,spain,
29,Que no llamase a tu puerta,dolor_y_gloria,spain,
30,"Salvita, no te muevas de ahÍ.",dolor_y_gloria,spain,
31,Que no pisase de noche,dolor_y_gloria,spain,
32,Las piedras de tu calleja,dolor_y_gloria,spain,
33,A tu vera,dolor_y_gloria,spain,
34,Siempre a la verita tuya,dolor_y_gloria,spain,
35,Siempre a la verita tuya,dolor_y_gloria,spain,
36,Hasta que de amor me muera,dolor_y_gloria,spain,
37,Mira que dicen y dicen,dolor_y_gloria,spain,
38,Mira que la tarde aquella,dolor_y_gloria,spain,
39,Mira que se fue y se vino,dolor_y_gloria,spain,
40,De su casa a la alameda,dolor_y_gloria,spain,
41,"Y asÍ, mirando y mirando",dolor_y_gloria,spain,
42,AsÍ empezÓ,dolor_y_gloria,spain,
43,Mi ceguera,dolor_y_gloria,spain,
44,¡Salva!,dolor_y_gloria,spain,
45,¡Soy Zulema!,dolor_y_gloria,spain,
46,- ¡QuÉ sorpresa!,dolor_y_gloria,spain,
47,- ¡Zulema!,dolor_y_gloria,spain,
48,"¡Ay, quÉ alegrÍa!",dolor_y_gloria,spain,
49,¿Puedes tomarte un cafecito conmigo,dolor_y_gloria,spain,
50,o andas con prisa?,dolor_y_gloria,spain,
51,"Si no escribes ni ruedas, ¿quÉ vas a hacer?",dolor_y_gloria,spain,
52,"- Vivir, supongo.",dolor_y_gloria,spain,
53,- Yo no puedo vivir sin actuar.,dolor_y_gloria,spain,
54,"Cada vez está más difÍcil,",dolor_y_gloria,spain,
55,pero hago todo lo que me proponen.,dolor_y_gloria,spain,
56,¿Ves a Alberto?,dolor_y_gloria,spain,
57,- Creo que estuvo en Argentina...,dolor_y_gloria,spain,
58,"- No, no, en MÉxico.",dolor_y_gloria,spain,
59,"Estuvo trabajando en algunos culebrones,",dolor_y_gloria,spain,
60,pero ya ha vuelto.,dolor_y_gloria,spain,
61,Me lo encontrÉ en un festival de cine latino,dolor_y_gloria,spain,
62,en la Riviera Maya.,dolor_y_gloria,spain,
63,Estuvo encantador.,dolor_y_gloria,spain,
64,"Pasado, pero fue un encuentro muy... muy lindo.",dolor_y_gloria,spain,
65,- ¿Tú le has visto?,dolor_y_gloria,spain,
66,"- No, no.",dolor_y_gloria,spain,
67,Desde el estreno de Sabor no lo he vuelto a ver.,dolor_y_gloria,spain,
68,Pero eso fue hace...,dolor_y_gloria,spain,
69,¿30 aÑos?,dolor_y_gloria,spain,
70,32.,dolor_y_gloria,spain,
71,¿Sabes? VolvÍ a ver la pelÍcula la semana pasada.,dolor_y_gloria,spain,
72,¿No la habÍas vuelto a ver?,dolor_y_gloria,spain,
73,"No. Desde el estreno, no.",dolor_y_gloria,spain,
74,"Y está mal decirlo, pero... me conmoviÓ.",dolor_y_gloria,spain,
75,A mÍ me ha encantado siempre.,dolor_y_gloria,spain,
76,La Filmoteca ha restaurado el negativo,dolor_y_gloria,spain,
77,y van a hacer varias proyecciones.,dolor_y_gloria,spain,
78,Quieren que la presente y pensÉ,dolor_y_gloria,spain,
79,en hacerlo con Alberto.,dolor_y_gloria,spain,
80,Me alegra que ya no le guardes rencor.,dolor_y_gloria,spain,
81,El cabrÓn nunca hizo el personaje,dolor_y_gloria,spain,
82,que yo habÍa escrito.,dolor_y_gloria,spain,
83,Entonces querÍa matarlo.,dolor_y_gloria,spain,
84,Pero... realmente no le guardo rencor.,dolor_y_gloria,spain,
85,"Vista ahora la pelÍcula, su interpretaciÓn",dolor_y_gloria,spain,
86,está mejor que hace 30 aÑos.,dolor_y_gloria,spain,
